#{"t_start": 1743754631.4097662, "env_id": "maze"}
r,l,t
9.0,500,0.359146
11.0,500,0.712045
22.0,500,1.047682
13.0,500,1.385977
25.0,500,2.761051
13.0,500,3.103286
22.0,500,3.495084
10.0,500,3.856897
30.0,500,5.226029
11.0,500,5.564499
33.0,500,5.901354
11.0,500,6.244456
24.0,500,7.631898
31.0,500,7.973571
11.0,500,8.310341
27.0,500,8.643493
27.0,500,10.018793
24.0,500,10.360239
28.0,500,10.694811
30.0,500,11.028219
28.0,500,12.414209
11.0,500,12.76349
27.0,500,13.105868
26.0,500,13.45053
33.0,475,14.927509
28.0,500,15.271145
31.0,500,15.613247
11.0,500,15.950092
27.0,500,17.399884
32.0,500,17.744475
28.0,500,18.08287
25.0,500,18.42292
33.0,425,19.760747
33.0,239,19.931775
33.0,396,20.21283
33.0,208,20.35586
35.0,164,20.487963
33.0,253,20.667153
33.0,323,20.901817
34.0,500,22.554246
35.0,121,22.652761
35.0,256,22.837793
33.0,199,22.997317
33.0,162,23.117912
35.0,87,23.178509
24.0,500,23.520411
35.0,154,23.625382
35.0,233,23.788619
34.0,166,23.910141
38.0,120,25.116621
33.0,179,25.262712
33.0,153,25.378231
33.0,181,25.511754
24.0,500,25.869769
33.0,217,26.032267
33.0,122,26.117273
33.0,107,26.193784
33.0,133,26.286302
37.0,153,26.39285
33.0,139,26.490242
33.0,92,26.552853
35.0,130,27.91925
33.0,54,27.957756
33.0,195,28.096264
35.0,498,28.435611
33.0,159,28.543838
33.0,132,28.634351
35.0,141,28.729953
33.0,96,28.794951
35.0,143,28.891116
34.0,139,28.986294
34.0,211,29.129005
33.0,172,29.245353
34.0,135,30.527322
33.0,189,30.686839
34.0,151,30.80245
37.0,297,31.007587
33.0,175,31.129709
35.0,96,31.196679
33.0,126,31.2878
37.0,224,31.454541
33.0,123,31.540119
27.0,500,31.896434
33.0,141,33.176465
35.0,93,33.243922
